epoch,acc@1,acc@5,train_loss,val_loss
001,0.050,0.452,6.940,42.708
002,0.100,0.500,6.545,6.908
003,0.100,0.500,5.521,6.915
004,0.120,0.516,4.869,6.931
005,0.102,0.500,4.432,6.961
006,0.100,0.500,4.178,6.998
007,0.100,0.622,4.020,7.024
008,0.150,0.712,3.901,7.035
009,0.268,0.726,3.802,7.026
010,0.314,0.896,3.731,6.981
011,0.460,1.514,3.664,6.874
012,1.078,3.982,3.621,6.582
013,4.838,13.740,3.574,5.929
014,13.928,30.998,3.544,4.957
015,25.512,48.520,3.519,3.981
016,36.608,61.676,3.481,3.199
017,45.254,70.780,3.461,2.628
018,51.822,76.644,3.422,2.240
019,56.626,80.366,3.401,1.971
020,60.078,83.036,3.386,1.782
021,62.620,84.830,3.359,1.647
022,64.662,86.298,3.346,1.542
023,66.148,87.388,3.320,1.465
024,67.398,88.190,3.315,1.405
025,68.328,88.786,3.290,1.363
026,69.144,89.246,3.279,1.331
027,69.896,89.678,3.273,1.301
028,70.374,90.058,3.250,1.277
029,70.880,90.344,3.242,1.256
030,71.242,90.592,3.223,1.238
031,71.722,90.836,3.217,1.222
032,72.000,91.034,3.212,1.209
033,72.388,91.188,3.198,1.196
034,72.616,91.328,3.189,1.186
035,72.926,91.520,3.172,1.177
036,73.158,91.644,3.165,1.169
037,73.396,91.806,3.152,1.160
038,73.600,91.924,3.147,1.153
039,73.738,91.992,3.145,1.146
040,74.082,92.134,3.125,1.138
041,74.224,92.228,3.122,1.130
042,74.360,92.324,3.108,1.124
043,74.450,92.438,3.106,1.117
044,74.614,92.472,3.105,1.111
045,74.798,92.576,3.089,1.106
046,74.916,92.598,3.083,1.100
047,75.008,92.652,3.071,1.095
048,75.120,92.770,3.069,1.089
049,75.254,92.816,3.057,1.084
050,75.328,92.880,3.055,1.079
051,75.408,92.904,3.052,1.075
052,75.460,92.964,3.035,1.070
053,75.594,93.008,3.037,1.066
054,75.692,93.034,3.021,1.062
055,75.832,93.106,3.022,1.057
056,75.912,93.142,3.016,1.053
057,76.022,93.218,3.004,1.049
058,76.104,93.196,3.003,1.046
059,76.182,93.282,2.990,1.041
060,76.322,93.326,2.988,1.036
061,76.324,93.430,2.973,1.032
062,76.448,93.448,2.974,1.029
063,76.508,93.500,2.972,1.026
064,76.514,93.526,2.964,1.023
065,76.628,93.518,2.960,1.020
066,76.752,93.578,2.949,1.018
067,76.860,93.598,2.944,1.015
068,76.914,93.676,2.944,1.011
069,77.024,93.686,2.927,1.008
070,77.066,93.694,2.931,1.005
071,77.208,93.730,2.920,1.003
072,77.250,93.750,2.916,1.000
073,77.302,93.770,2.909,0.998
074,77.426,93.802,2.903,0.995
075,77.446,93.856,2.904,0.993
076,77.742,94.050,2.888,0.973
077,77.978,94.210,2.873,0.958
078,78.210,94.332,2.859,0.944
079,78.318,94.426,2.853,0.934
080,78.470,94.448,2.857,0.926
081,78.634,94.472,2.844,0.918
082,78.698,94.488,2.841,0.912
083,78.788,94.572,2.829,0.906
084,78.964,94.638,2.828,0.901
085,79.010,94.660,2.816,0.896
086,79.084,94.688,2.818,0.893
087,79.172,94.680,2.815,0.889
088,79.182,94.746,2.805,0.886
089,79.264,94.776,2.802,0.882
090,79.332,94.830,2.790,0.880
091,79.346,94.848,2.790,0.878
092,79.352,94.882,2.791,0.875
093,79.466,94.902,2.778,0.872
094,79.570,94.956,2.776,0.871
095,79.662,94.958,2.769,0.869
096,79.702,94.986,2.764,0.867
097,79.804,95.008,2.755,0.865
098,79.768,94.976,2.757,0.864
099,79.834,94.978,2.752,0.862
100,79.876,95.016,2.748,0.861
101,79.882,95.022,2.744,0.860
102,79.966,95.092,2.734,0.858
103,80.042,95.104,2.733,0.857
104,80.032,95.120,2.730,0.856
105,80.052,95.146,2.722,0.855
106,80.126,95.174,2.722,0.854
107,80.144,95.184,2.710,0.853
108,80.222,95.200,2.710,0.851
109,80.246,95.236,2.699,0.848
110,80.290,95.308,2.699,0.847
111,80.342,95.360,2.698,0.844
112,80.396,95.384,2.691,0.842
113,80.402,95.390,2.688,0.841
114,80.352,95.396,2.682,0.840
115,80.462,95.368,2.678,0.839
116,80.486,95.338,2.679,0.837
117,80.528,95.380,2.667,0.836
118,80.562,95.358,2.672,0.836
119,80.578,95.412,2.658,0.835
120,80.594,95.434,2.658,0.833
121,80.614,95.458,2.648,0.831
122,80.646,95.470,2.648,0.830
123,80.704,95.478,2.649,0.829
124,80.794,95.458,2.641,0.828
125,80.808,95.460,2.638,0.827
126,80.866,95.474,2.633,0.825
127,80.852,95.492,2.630,0.824
128,80.878,95.544,2.631,0.823
129,80.962,95.550,2.619,0.821
130,80.962,95.584,2.622,0.820
131,81.002,95.608,2.612,0.819
132,81.046,95.586,2.610,0.818
133,81.128,95.570,2.600,0.818
134,81.118,95.580,2.599,0.817
135,81.078,95.618,2.600,0.816
136,81.076,95.650,2.594,0.816
137,81.106,95.688,2.592,0.816
138,81.158,95.706,2.584,0.815
139,81.212,95.716,2.583,0.814
140,81.170,95.708,2.585,0.813
141,81.216,95.736,2.574,0.812
142,81.246,95.688,2.576,0.811
143,81.296,95.708,2.567,0.809
144,81.348,95.768,2.567,0.808
145,81.402,95.768,2.560,0.807
146,81.418,95.776,2.557,0.806
147,81.396,95.834,2.560,0.805
148,81.462,95.874,2.548,0.804
149,81.458,95.876,2.548,0.803
150,81.498,95.852,2.540,0.803
151,81.658,95.930,2.635,0.788
152,81.820,95.982,2.619,0.778
153,81.874,96.018,2.610,0.771
154,81.976,96.080,2.602,0.765
155,82.046,96.084,2.597,0.760
156,82.038,96.078,2.594,0.756
157,82.146,96.100,2.586,0.754
158,82.134,96.120,2.586,0.752
159,82.186,96.140,2.583,0.749
160,82.214,96.174,2.579,0.748
161,82.304,96.170,2.575,0.746
162,82.290,96.166,2.567,0.745
163,82.274,96.208,2.568,0.744
164,82.228,96.226,2.563,0.744
165,82.344,96.262,2.561,0.742
166,82.340,96.254,2.559,0.741
167,82.366,96.250,2.551,0.740
168,82.374,96.268,2.551,0.740
169,82.420,96.254,2.543,0.739
170,82.450,96.260,2.543,0.738
171,82.372,96.330,2.541,0.738
172,82.398,96.332,2.537,0.737
173,82.428,96.336,2.534,0.736
174,82.418,96.358,2.529,0.735
175,82.474,96.356,2.526,0.734
176,82.436,96.350,2.527,0.733
177,82.466,96.378,2.521,0.732
178,82.524,96.394,2.520,0.732
179,82.582,96.388,2.513,0.731
180,82.642,96.378,2.512,0.731
181,82.680,96.378,2.504,0.730
182,82.680,96.378,2.504,0.729
183,82.670,96.384,2.505,0.729
184,82.680,96.410,2.499,0.728
185,82.722,96.404,2.498,0.727
186,82.738,96.412,2.489,0.726
187,82.752,96.408,2.488,0.726
188,82.814,96.414,2.490,0.725
189,82.864,96.436,2.480,0.724
190,82.870,96.386,2.482,0.724
191,82.868,96.426,2.473,0.723
192,82.870,96.472,2.476,0.722
193,82.878,96.494,2.466,0.722
194,82.876,96.480,2.468,0.722
195,82.918,96.492,2.467,0.722
196,82.946,96.474,2.461,0.721
197,82.976,96.470,2.460,0.721
198,82.990,96.478,2.452,0.721
199,82.996,96.500,2.454,0.721
200,83.004,96.492,2.451,0.720
201,83.008,96.488,2.448,0.720
202,82.994,96.476,2.446,0.719
203,83.054,96.434,2.441,0.718
204,83.080,96.464,2.441,0.718
205,83.038,96.480,2.434,0.718
206,83.026,96.484,2.433,0.718
207,83.024,96.508,2.434,0.717
208,83.086,96.506,2.428,0.716
209,83.094,96.522,2.427,0.716
210,83.090,96.500,2.419,0.716
211,83.084,96.498,2.420,0.716
212,83.088,96.506,2.419,0.715
213,83.108,96.558,2.414,0.715
214,83.092,96.512,2.410,0.715
215,83.090,96.518,2.410,0.714
216,83.086,96.512,2.407,0.714
217,83.128,96.518,2.402,0.714
218,83.134,96.500,2.402,0.714
219,83.198,96.514,2.399,0.714
220,83.182,96.508,2.396,0.714
221,83.172,96.474,2.395,0.713
222,83.186,96.470,2.391,0.713
223,83.212,96.488,2.389,0.713
224,83.242,96.520,2.388,0.712
225,83.232,96.512,2.383,0.711
226,83.326,96.534,2.610,0.708
227,83.376,96.566,2.592,0.706
228,83.422,96.588,2.588,0.704
229,83.454,96.590,2.582,0.704
230,83.426,96.628,2.579,0.703
231,83.468,96.604,2.576,0.703
232,83.506,96.630,2.572,0.703
233,83.500,96.608,2.570,0.702
234,83.526,96.592,2.565,0.702
235,83.558,96.626,2.560,0.702
236,83.488,96.610,2.559,0.702
237,83.496,96.596,2.562,0.702
238,83.482,96.608,2.554,0.701
239,83.516,96.612,2.550,0.701
240,83.554,96.632,2.551,0.700
241,83.488,96.640,2.545,0.700
242,83.508,96.630,2.544,0.700
243,83.516,96.654,2.539,0.700
244,83.542,96.642,2.536,0.700
245,83.562,96.640,2.538,0.700
246,83.622,96.628,2.530,0.700
247,83.604,96.654,2.532,0.699
248,83.638,96.656,2.532,0.699
249,83.670,96.656,2.527,0.698
250,83.624,96.668,2.524,0.699
251,83.650,96.676,2.521,0.699
252,83.658,96.692,2.519,0.698
253,83.670,96.670,2.515,0.698
254,83.624,96.654,2.512,0.698
255,83.642,96.656,2.514,0.698
256,83.628,96.660,2.509,0.698
257,83.716,96.686,2.509,0.698
258,83.726,96.678,2.507,0.698
259,83.734,96.672,2.507,0.697
260,83.724,96.664,2.504,0.697
261,83.710,96.630,2.501,0.697
262,83.734,96.638,2.498,0.697
263,83.728,96.676,2.494,0.696
264,83.766,96.680,2.492,0.696
265,83.758,96.664,2.489,0.695
266,83.712,96.666,2.486,0.695
267,83.706,96.666,2.489,0.696
268,83.672,96.644,2.484,0.696
269,83.696,96.640,2.484,0.696
270,83.758,96.650,2.480,0.696
271,83.788,96.636,2.477,0.695
272,83.778,96.670,2.477,0.696
273,83.784,96.636,2.474,0.696
274,83.764,96.618,2.475,0.696
275,83.760,96.640,2.470,0.696
276,83.786,96.648,2.464,0.696
277,83.804,96.656,2.465,0.696
278,83.844,96.638,2.463,0.696
279,83.784,96.654,2.465,0.696
280,83.816,96.638,2.458,0.695
281,83.878,96.680,2.456,0.695
282,83.806,96.670,2.456,0.695
283,83.818,96.670,2.453,0.695
284,83.784,96.644,2.454,0.695
285,83.786,96.678,2.450,0.695
286,83.794,96.668,2.450,0.695
287,83.826,96.652,2.445,0.695
288,83.866,96.622,2.446,0.694
289,83.860,96.622,2.442,0.694
290,83.858,96.650,2.439,0.694
291,83.836,96.658,2.440,0.694
292,83.814,96.668,2.437,0.694
293,83.816,96.672,2.436,0.694
294,83.774,96.668,2.434,0.694
295,83.772,96.632,2.434,0.695
296,83.832,96.646,2.432,0.695
297,83.784,96.624,2.428,0.695
298,83.824,96.628,2.425,0.694
299,83.844,96.654,2.423,0.694
300,83.872,96.686,2.426,0.694
